"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"117",1642,"Armagh",54.42554855,-6.438469887,19830925,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1983,14
"118",8369,"Armagh",54.34640121,-6.656970024,19741016,1368.053543,0,0,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"119",744,"Armagh",54.18859863,-6.361060143,19720414,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"120",7237,"Armagh",54.34640121,-6.656970024,19730821,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"121",8503,"Armagh",54.179783,-6.34079,19741116,1368.053543,1,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"122",3919,"Armagh",54.32309341,-6.629692554,19690322,1368.053543,0,0,0,0,0,0,0,0,1,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
"123",6297,"Armagh",54.18859863,-6.361060143,19721226,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"124",3744,"Armagh",54.449694,-6.354961,19910328,1368.053543,1,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1991,22
"125",5842,"Armagh",54.18859863,-6.361060143,19720919,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"126",3609,"Armagh",54.45403212,-6.353138649,19831125,1368.053543,1,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1983,14
"127",4798,"Armagh",54.18859863,-6.361060143,19720218,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"128",7110,"Armagh",54.34640121,-6.656970024,19730722,1368.053543,0,0,0,0,1,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"129",116,"Armagh",54.34640121,-6.656970024,19720918,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"130",1873,"Armagh",54.305347,-6.532185,19910531,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1991,22
"131",1745,"Armagh",54.347005,-6.666158,19870321,1368.053543,0,0,1,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1987,18
"132",160,"Armagh",54.176946,-6.341837,19731224,1368.053543,1,0,1,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"133",7802,"Armagh",54.422055,-6.442003,19740527,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"134",795,"Armagh",54.46709824,-6.338129997,19720618,1368.053543,1,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"135",271,"Armagh",54.22180176,-6.486440182,19760105,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"136",704,"Armagh",54.1887207,-6.362110138,19720229,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"137",5435,"Armagh",54.42554855,-6.438469887,19720712,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"138",7712,"Armagh",54.18859863,-6.361060143,19740515,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"139",1272,"Armagh",54.34640121,-6.656970024,19751110,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1975,6
"140",3960,"Armagh",54.34640121,-6.656970024,19690708,1368.053543,0,0,0,0,1,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
